date,cases_new,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,deaths_new,icu_covid,prominent_variant
2020-01-25,1.14,0.14,0.0,0.0,0.0,0.14,0.29,0.14,0.0,0.0,0.0,0.0,0.0,other
2020-02-01,1.0,0.0,0.14,0.0,0.0,0.14,0.43,0.14,0.14,0.0,0.0,0.0,0.0,other
2020-02-08,0.57,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.29,0.0,0.0,0.0,0.0,other
2020-02-15,0.43,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,other
2020-02-22,0.43,0.0,0.0,0.0,0.0,0.0,0.29,0.14,0.0,0.0,0.0,0.0,0.0,other
2020-02-29,8.29,0.0,0.29,0.14,0.71,1.71,1.71,2.57,1.14,0.0,0.0,0.0,0.0,other
2020-03-07,16.29,0.0,0.57,0.14,3.14,2.86,1.57,4.14,2.86,1.0,0.0,0.0,0.0,other
2020-03-14,119.0,1.86,1.29,4.43,23.14,19.29,20.71,21.0,19.43,5.14,0.43,0.43,0.0,other
2020-03-21,161.57,2.71,2.71,7.0,38.71,27.86,19.14,29.14,21.14,5.43,2.57,3.57,39.29,other
2020-03-28,167.43,2.57,3.86,9.86,48.86,26.14,17.14,29.0,18.0,6.71,2.57,4.14,92.86,other
2020-04-04,144.71,3.0,5.57,11.86,36.71,23.86,16.86,20.14,15.57,3.71,2.29,2.0,81.43,other
2020-04-11,129.29,2.0,6.57,9.14,35.0,22.0,12.71,13.71,12.57,3.43,0.86,2.43,55.86,other
2020-04-18,62.86,1.57,0.71,5.43,24.14,7.86,5.14,3.14,2.29,1.29,0.86,1.14,44.43,other
2020-04-25,54.29,0.71,1.0,2.71,18.43,7.57,4.86,3.29,3.0,0.57,0.29,1.0,34.57,other
2020-05-02,66.29,0.43,1.0,4.71,26.57,15.0,6.43,4.0,1.57,1.0,0.14,0.71,21.14,other
2020-05-09,45.71,0.57,0.29,1.71,15.14,13.29,3.86,2.57,1.0,0.57,0.43,0.71,14.86,other
2020-05-16,40.29,0.43,0.0,2.0,12.57,5.29,3.86,1.71,1.14,0.43,0.43,0.29,14.14,other
2020-05-23,85.0,0.43,0.43,1.43,21.14,21.57,7.86,3.14,1.0,0.29,0.29,0.0,10.0,other
2020-05-30,76.29,0.86,0.57,5.57,30.0,18.0,9.57,4.14,0.71,0.29,0.14,0.29,8.57,other
2020-06-06,19.43,0.43,0.57,1.0,9.14,3.0,1.43,0.86,0.14,0.14,0.29,0.57,5.71,other
2020-06-13,19.0,1.57,1.43,2.0,5.29,3.14,2.29,0.86,0.71,0.29,0.43,0.0,3.86,other
2020-06-20,10.14,0.0,0.0,1.14,2.29,2.43,1.57,0.43,1.14,0.0,0.14,0.0,2.14,other
2020-06-27,6.0,0.14,0.29,0.29,2.43,1.43,0.86,0.43,0.14,0.0,0.0,0.0,3.29,other
2020-07-04,6.86,0.29,0.57,0.57,1.29,2.0,1.43,0.43,0.29,0.0,0.0,0.14,2.14,other
2020-07-11,8.43,0.14,0.29,0.0,2.86,2.0,1.14,0.86,0.43,0.29,0.14,0.14,2.29,other
2020-07-18,15.14,0.14,0.0,0.14,3.0,3.57,2.86,1.71,1.14,1.29,1.0,0.0,2.86,other
2020-07-25,16.43,0.14,0.71,0.29,3.86,4.14,2.29,3.0,1.14,0.71,0.0,0.29,1.71,other
2020-08-01,12.43,0.71,0.86,0.57,3.86,2.43,1.14,1.57,1.0,0.14,0.14,0.0,1.57,other
